ten,loai,doi_tuong,gia_tri,bac_hoc,chuyen_nganh,yeu_cau_nn,ghi_chu
Học bổng khuyến khích học tập,Nội bộ,Sinh viên hệ chính quy loại Khá trở lên,Quỹ 8% thu học phí (~8 tỉ VND/năm),Đại học,Tất cả,-,"Cấp theo kết quả học tập, rèn luyện"
Học bổng Đỗ Quốc Sam,Nội bộ,Sinh viên hệ dài hạn chính quy,"1 suất đặc biệt 20 triệu VND, suất thường 5 triệu VND",Đại học,Tất cả,-,Cấp dịp khai giảng hàng năm
Học bổng CSC,Nội bộ,Sinh viên năm 2–4 xuất sắc,≥5000 USD,Đại học,Tất cả,-,"Trao dịp khai giảng, quỹ Cotana Group"
Học bổng Merali,Quốc tế,Nữ sinh khó khăn ngành kỹ thuật-tự nhiên,13 triệu VND/năm trong 5 năm,Đại học,"Kiến trúc, Quy hoạch, Kinh tế, Xây dựng DD&CN, Môi trường, Cầu đường, Cơ khí",-,Cấp 3 lần/năm
Học bổng Kumho Asiana,Quốc tế,Sinh viên năm nhất xuất sắc hoặc gia đình chính sách,"≈2.150.000 VND/kỳ, duy trì 4-5 năm",Đại học,Tất cả,-,"Khoảng 100 suất/năm, xét phỏng vấn"
