ten,loai,doi_tuong,gia_tri,bac_hoc,chuyen_nganh,yeu_cau_nn,thoi_gian_dao_tao,thoi_han_nop,website
Chevening,Quốc tế,Cá nhân xuất sắc có tiềm năng lãnh đạo,"Học bổng toàn phần Thạc sĩ (1 năm) tại Anh, gồm học phí (tối đa £12,000), vé máy bay, phụ cấp",Thạc sĩ,Khoa học; Kinh tế; Biến đổi khí hậu (ưu tiên),Tiếng Anh (IELTS/TOEFL) theo yêu cầu khóa học,1 năm,Tháng 8 hàng năm,http://www.chevening.org/vietnam/
DAAD (Đức),Quốc tế,"Sinh viên, nghiên cứu sinh, giảng viên","650 Euro/tháng (thực tập sinh viên), hỗ trợ toàn phần cho tiến sĩ","Đại học, Thạc sĩ, Tiến sĩ","Khoa học kỹ thuật, Môi trường, Xã hội",Tiếng Đức hoặc tiếng Anh (tùy chương trình),2–3 tháng (thực tập) đến 3 năm (tiến sĩ),Tháng 1 hàng năm (khác nhau theo chương trình),http://www.daadvn.org/vi/17160/index.html
MEXT (Nhật Bản),Quốc tế,"Sinh viên đại học, thạc sĩ, tiến sĩ","Toàn phần (học phí, sinh hoạt phí, vé máy bay)","Đại học, Thạc sĩ, Tiến sĩ","Kỹ thuật, Kiến trúc, Xây dựng, Môi trường, CNTT","Tiếng Nhật, tiếng Anh (tùy ngành)",3–5 năm,Tháng 5 hàng năm,http://www.mext.go.jp/a_menu/koutou/ryugaku/boshu/1346652.htm
Erasmus+ (Châu Âu),Quốc tế,"Sinh viên đại học, thạc sĩ","Học phí, sinh hoạt phí, vé máy bay (tùy chương trình liên kết)","Đại học, Thạc sĩ","Kiến trúc, Xây dựng, Môi trường, Kinh tế, CNTT",Tiếng Anh (IELTS ≥6.0) hoặc ngôn ngữ EU khác,6 tháng – 2 năm,"Khác nhau theo chương trình, thường từ tháng 1–3",https://erasmus-plus.ec.europa.eu/
Fulbright (Mỹ),Quốc tế,"Sinh viên, giảng viên, nhà nghiên cứu Việt Nam","Học bổng toàn phần Thạc sĩ, Tiến sĩ tại Mỹ (học phí, sinh hoạt, vé máy bay)","Thạc sĩ, Tiến sĩ","Tất cả (ưu tiên Giáo dục, Quản lý công, Môi trường, Kinh tế)",IELTS/TOEFL,2–5 năm,Tháng 4 hàng năm,https://vn.usembassy.gov/education-culture/fulbright-program-vietnam/
