ma_nganh,ten_nganh,phuong_thuc,ghi_chu
7520309,Kỹ thuật vật liệu,TSA/SPT/V-SAT,
7520309,Kỹ thuật vật liệu,Tuyển thẳng/Ưu tiên,
7510105,Công nghệ kỹ thuật Vật liệu xây dựng,THPT,
7510105,Công nghệ kỹ thuật Vật liệu xây dựng,Học bạ,
7510105,Công nghệ kỹ thuật Vật liệu xây dựng,TSA/SPT/V-SAT,
7510105,Công nghệ kỹ thuật Vật liệu xây dựng,Tuyển thẳng/Ưu tiên,
7480201,Công nghệ thông tin,THPT,
7480201,Công nghệ thông tin,Học bạ,
7480201,Công nghệ thông tin,TSA/SPT/V-SAT,
7480201,Công nghệ thông tin,Tuyển thẳng/Ưu tiên,
7480201_01,Công nghệ thông tin/ Công nghệ Đa phương tiện,THPT,
7480201_01,Công nghệ thông tin/ Công nghệ Đa phương tiện,Học bạ,
7480201_01,Công nghệ thông tin/ Công nghệ Đa phương tiện,TSA/SPT/V-SAT,
7480201_01,Công nghệ thông tin/ Công nghệ Đa phương tiện,Tuyển thẳng/Ưu tiên,
7480201_02,Công nghệ thông tin/ An toàn thông tin,THPT,
7480201_02,Công nghệ thông tin/ An toàn thông tin,Học bạ,
7480201_02,Công nghệ thông tin/ An toàn thông tin,TSA/SPT/V-SAT,
7480201_02,Công nghệ thông tin/ An toàn thông tin,Tuyển thẳng/Ưu tiên,
7480101,Khoa học Máy tính,THPT,
7480101,Khoa học Máy tính,Học bạ,
7480101,Khoa học Máy tính,TSA/SPT/V-SAT,
7480101,Khoa học Máy tính,Tuyển thẳng/Ưu tiên,
7460108,Khoa học dữ liệu,THPT,
7460108,Khoa học dữ liệu,Học bạ,
7460108,Khoa học dữ liệu,TSA/SPT/V-SAT,
7460108,Khoa học dữ liệu,Tuyển thẳng/Ưu tiên,
7520103,Kỹ thuật cơ khí,THPT,
7520103,Kỹ thuật cơ khí,Học bạ,
7520103,Kỹ thuật cơ khí,TSA/SPT/V-SAT,
7520103,Kỹ thuật cơ khí,Tuyển thẳng/Ưu tiên,
7520103_01,Kỹ thuật cơ khí/ Máy xây dựng,THPT,
7520103_01,Kỹ thuật cơ khí/ Máy xây dựng,Học bạ,
7520103_01,Kỹ thuật cơ khí/ Máy xây dựng,TSA/SPT/V-SAT,
7520103_01,Kỹ thuật cơ khí/ Máy xây dựng,Tuyển thẳng/Ưu tiên,
7520103_03,Kỹ thuật cơ khí/ Kỹ thuật cơ điện,THPT,
7520103_03,Kỹ thuật cơ khí/ Kỹ thuật cơ điện,Học bạ,
7520103_03,Kỹ thuật cơ khí/ Kỹ thuật cơ điện,TSA/SPT/V-SAT,
7520103_03,Kỹ thuật cơ khí/ Kỹ thuật cơ điện,Tuyển thẳng/Ưu tiên,
7520103_04,Kỹ thuật cơ khí/ Kỹ thuật ô tô,THPT,
7520103_04,Kỹ thuật cơ khí/ Kỹ thuật ô tô,Học bạ,
7520103_04,Kỹ thuật cơ khí/ Kỹ thuật ô tô,TSA/SPT/V-SAT,
7520103_04,Kỹ thuật cơ khí/ Kỹ thuật ô tô,Tuyển thẳng/Ưu tiên,
7520201,Kỹ thuật điện,THPT,
7520201,Kỹ thuật điện,Học bạ,
7520201,Kỹ thuật điện,TSA/SPT/V-SAT,
7520201,Kỹ thuật điện,Tuyển thẳng/Ưu tiên,
7520216,Kỹ thuật điều khiển và tự động hoá,THPT,
7520216,Kỹ thuật điều khiển và tự động hoá,Học bạ,
7520216,Kỹ thuật điều khiển và tự động hoá,TSA/SPT/V-SAT,
7520216,Kỹ thuật điều khiển và tự động hoá,Tuyển thẳng/Ưu tiên,
7580301,Kinh tế xây dựng,THPT,
7580301,Kinh tế xây dựng,Học bạ,
7580301,Kinh tế xây dựng,TSA/SPT/V-SAT,
7580301,Kinh tế xây dựng,Tuyển thẳng/Ưu tiên,
7580302_01,Quản lý xây dựng/ Kinh tế và quản lý đô thị,THPT,
7580302_01,Quản lý xây dựng/ Kinh tế và quản lý đô thị,Học bạ,
7580302_01,Quản lý xây dựng/ Kinh tế và quản lý đô thị,TSA/SPT/V-SAT,
7580302_01,Quản lý xây dựng/ Kinh tế và quản lý đô thị,Tuyển thẳng/Ưu tiên,
7580302_02,Quản lý xây dựng/ Kinh tế và quản lý bất động sản,THPT,
7580302_02,Quản lý xây dựng/ Kinh tế và quản lý bất động sản,Học bạ,
7580302_02,Quản lý xây dựng/ Kinh tế và quản lý bất động sản,TSA/SPT/V-SAT,
7580302_02,Quản lý xây dựng/ Kinh tế và quản lý bất động sản,Tuyển thẳng/Ưu tiên,
7580302_03,"Quản lý xây dựng/ Quản lý hạ tầng, đất đai đô thị",THPT,
7580302_03,"Quản lý xây dựng/ Quản lý hạ tầng, đất đai đô thị",Học bạ,
7580302_03,"Quản lý xây dựng/ Quản lý hạ tầng, đất đai đô thị",TSA/SPT/V-SAT,
7580302_03,"Quản lý xây dựng/ Quản lý hạ tầng, đất đai đô thị",Tuyển thẳng/Ưu tiên,
7580302_04,Quản lý xây dựng/ Kiểm toán đầu tư xây dựng,THPT,
7580302_04,Quản lý xây dựng/ Kiểm toán đầu tư xây dựng,Học bạ,
7580302_04,Quản lý xây dựng/ Kiểm toán đầu tư xây dựng,TSA/SPT/V-SAT,
7580302_04,Quản lý xây dựng/ Kiểm toán đầu tư xây dựng,Tuyển thẳng/Ưu tiên,
7340409,Quản lý Dự án,THPT,
7340409,Quản lý Dự án,Học bạ,
7340409,Quản lý Dự án,TSA/SPT/V-SAT,
7340409,Quản lý Dự án,Tuyển thẳng/Ưu tiên,
7510605,Logistics và Quản lý chuỗi cung ứng,THPT,
7510605,Logistics và Quản lý chuỗi cung ứng,Học bạ,
7510605,Logistics và Quản lý chuỗi cung ứng,TSA/SPT/V-SAT,
7510605,Logistics và Quản lý chuỗi cung ứng,Tuyển thẳng/Ưu tiên,
7510605_01,Logistics và Quản lý chuỗi cung ứng/ Logistics đô thị,THPT,
7510605_01,Logistics và Quản lý chuỗi cung ứng/ Logistics đô thị,Học bạ,
7510605_01,Logistics và Quản lý chuỗi cung ứng/ Logistics đô thị,TSA/SPT/V-SAT,
7510605_01,Logistics và Quản lý chuỗi cung ứng/ Logistics đô thị,Tuyển thẳng/Ưu tiên,
7510605_02,Logistics và Quản lý chuỗi cung ứng/ Logistics công nghiệp,THPT,
7510605_02,Logistics và Quản lý chuỗi cung ứng/ Logistics công nghiệp,Học bạ,
7510605_02,Logistics và Quản lý chuỗi cung ứng/ Logistics công nghiệp,TSA/SPT/V-SAT,
